股票代码,股票名称,1个月收益率,3个月收益率,6个月收益率,12个月收益率,1个月收益率百分位值,3个月收益率百分位值,6个月收益率百分位值,12个月收益率百分位值,动量分数
002371,北方华创,6.672394043528063,20.448813296255587,12.697788400447774,65.35712700315177,60.535117056856194,65.88628762541806,57.19063545150501,77.85234899328859,65.36609728176697
600346,恒力石化,9.378881987577635,19.795918367346932,15.779092702169617,36.72360248447204,71.90635451505017,65.21739130434783,66.22073578595318,57.71812080536913,65.26565060268008
600875,东方电气,-0.8521303258145263,27.120822622107976,39.197748064743145,50.30395136778117,27.09030100334448,75.91973244147158,86.62207357859532,68.79194630872483,64.60601333303406
601881,中国银河,4.517221908526259,18.577834721332497,12.454434993924668,88.109756097561,52.17391304347826,63.54515050167224,55.51839464882943,86.24161073825503,64.36976723305874
002709,天赐材料,10.251153254741151,27.65578635014836,3.5129932627526506,54.859611231101525,74.91638795986621,76.58862876254182,31.77257525083612,73.48993288590604,64.19188121478754
601211,国泰海通,0.5273250239693272,24.082840236686387,22.99120234604104,53.739002932551294,34.11371237458194,71.57190635451505,78.26086956521739,72.81879194630872,64.19132006015577
600104,上汽集团,7.6174112256586435,16.563275434243163,14.853300733496333,50.80256821829854,63.54515050167224,59.19732441471572,63.87959866220736,69.46308724832215,64.02129020672936
600547,山东黄金,10.941137346192221,11.758793969849247,43.91716997411561,21.353219352491813,77.25752508361204,46.48829431438127,89.29765886287625,40.604026845637584,63.411876276626785
300124,汇川技术,16.9420199501247,14.777420835245515,4.586005018121009,72.64150943396226,82.94314381270902,52.84280936454849,35.45150501672241,82.21476510067114,63.36305582366277
002311,海大集团,8.084358523725843,3.3439758023861677,23.39486356340288,69.42148760330579,65.88628762541806,26.08695652173913,78.92976588628763,79.86577181208054,62.69219546138134
605499,东鹏饮料,7.8663454488320905,-2.6960629921259804,42.875641677843035,81.51586368977675,64.54849498327759,11.036789297658862,88.2943143812709,84.8993288590604,62.19473188031694
002001,新和成,9.210526315789469,13.543091655266748,20.464441219158182,32.30605738575982,70.23411371237458,50.16722408026756,72.90969899665552,55.033557046979865,62.08614845906938
000568,泸州老窖,11.991836734693884,22.13122051099439,12.570772134241404,25.482484222079947,78.26086956521739,67.89297658862876,56.187290969899664,44.966442953020135,61.82689501919148
600489,中金黄金,8.418194161575009,17.772861356932147,36.26279863481228,14.398280802292263,66.88963210702342,62.54180602006689,85.61872909698997,30.87248322147651,61.48066261138919
600584,长电科技,12.267867191896453,24.531835205992515,7.34463276836157,29.54545454545454,78.92976588628763,72.24080267558529,44.481605351170565,50.0,61.413043478260875
601360,三六零,9.022556390977442,15.999999999999993,5.454545454545445,71.85185185185186,69.23076923076923,57.19063545150501,37.79264214046823,80.87248322147651,61.27163251105475
601377,兴业证券,3.8109756097560954,20.530973451327416,15.816326530612246,37.29838709677418,48.49498327759198,66.22073578595318,66.5551839464883,58.053691275167786,59.83114857130031
603501,豪威集团,15.778837604074036,15.155169641421452,1.1654188444695457,64.34882386689613,80.93645484949833,55.18394648829431,24.414715719063544,77.18120805369128,59.42908127763687
002230,科大讯飞,10.204503201817827,16.155018506422824,3.1914893617021267,59.301283965362785,73.91304347826086,57.859531772575245,30.434782608695656,75.50335570469798,59.427678391057434
688012,中微公司,5.093478580892086,22.58599965657373,5.000735402265044,62.249999999999986,55.51839464882943,68.89632107023411,36.12040133779264,76.51006711409396,59.26129604273753
002920,德赛西威,21.77203065134099,14.98733719247467,3.7880643317821816,41.68059734759835,88.2943143812709,53.84615384615385,32.77591973244147,62.08053691275168,59.24923121815448
688396,华润微,9.234938503231183,10.153458061803654,11.631870472944183,51.270207852193984,70.5685618729097,42.14046822742475,53.51170568561873,70.46979865771812,59.17263361091782
688111,金山办公,9.805337622689825,19.085763110114296,-3.12490949636538,85.09296148738379,73.57859531772574,64.54849498327759,12.37458193979933,85.90604026845638,59.101928127314764
300413,芒果超媒,16.11754229741762,17.7958446251129,3.164556962025311,40.972972972972954,81.60535117056857,62.87625418060201,30.100334448160538,61.40939597315436,58.997833943121364
300661,圣邦股份,7.165495383767406,9.875671093529249,14.65428276573788,50.60030983733539,62.207357859531776,41.47157190635451,62.87625418060201,69.12751677852349,58.920675181252946
600958,东方证券,-0.43290043290044045,24.59371614301191,19.542619542619555,42.32673267326732,28.762541806020064,72.5752508361204,70.90301003344482,63.08724832214765,58.83201274943323
688047,龙芯中科,8.813429988553967,10.149853236520912,7.557701010710494,66.16173386157074,68.56187290969899,41.80602006688963,45.1505016722408,78.18791946308725,58.426578527979174
600918,中泰证券,5.409356725146197,18.780889621087304,14.62639109697934,27.385159010600702,56.85618729096989,63.87959866220736,62.54180602006689,48.65771812080537,57.983827523512375
301269,华大九天,10.631408526713425,-3.2029589989769347,14.964015328535375,68.60863605209046,75.91973244147158,9.698996655518394,64.54849498327759,79.19463087248322,57.340463738187694
002459,晶澳科技,8.950086058519812,38.51203501094091,-0.5498821681068411,30.65015479876161,68.89632107023411,87.29096989966555,19.063545150501675,52.68456375838926,56.98384996969765
601127,赛力斯,6.329605467536514,0.6543155418320845,13.58055417288866,93.84114398980603,59.53177257525084,19.732441471571907,60.200668896321076,87.91946308724832,56.84608650759804
600031,三一重工,4.057397328055412,13.860314022739594,17.881165919282527,35.50257731958764,49.49832775919732,50.50167224080268,69.89966555183946,56.711409395973156,56.652768736953156
601318,中国平安,-1.3671553286114246,15.866873065015486,22.755227552275525,49.36393115490147,24.08026755852843,56.52173913043478,77.59197324414716,68.12080536912751,56.57869632555947
601658,邮储银行,6.151142355008776,13.320825515947465,15.930902111324375,30.17241379310345,58.19397993311036,49.163879598662206,66.88963210702342,51.34228187919463,56.397443379497645
600066,宇通客车,8.059467918622865,11.73139158576053,8.954635108481268,44.53165881737311,65.21739130434783,46.15384615384615,48.82943143812709,64.76510067114094,56.241442391865505
601995,中金公司,4.217356042173548,16.8181818181818,9.579306424104605,41.72794117647059,50.50167224080268,60.535117056856194,49.83277591973244,62.41610738255034,55.82141814998541
601618,中国中冶,10.71428571428572,18.81533101045296,11.43790849673203,13.289036544850518,76.2541806020067,64.21404682274247,52.508361204013376,29.53020134228188,55.6266974927611
300896,爱美客,2.3371142178844506,14.105882352941169,16.80616607454688,40.95334980380758,41.80602006688963,50.836120401337794,68.22742474916387,61.07382550335571,55.48584768018675
301236,软通动力,9.323116219667948,15.009596928982717,-6.3896266208404935,96.910943148209,71.23745819397993,54.18060200668896,7.023411371237458,89.26174496644296,55.425804134587324
300759,康龙化成,-5.966438781852079,28.003384094754647,15.320121951219523,54.073319755600814,5.351170568561873,77.25752508361204,65.88628762541806,73.15436241610739,55.41233642342485
601633,长城汽车,16.86256781193489,17.074275362318847,5.725971370143168,18.25251601097897,82.6086956521739,61.20401337792642,40.13377926421405,35.90604026845637,54.963132140692686
600089,特变电工,2.3121387283236983,24.647887323943674,19.796954314720814,16.831683168316847,41.47157190635451,72.90969899665552,71.57190635451505,33.22147651006711,54.79366344189805
600150,中国船舶,7.352096496266514,22.879684418145963,22.116955243384528,-2.934302778499076,62.54180602006689,69.23076923076923,77.25752508361204,10.06711409395973,54.77430360710197
600999,招商证券,4.11409764125068,20.12658227848101,7.110609480812657,35.57142857142856,49.83277591973244,65.55183946488295,43.812709030100336,57.04697986577181,54.061076070121885
600196,复星医药,2.8163992869875143,15.129740518962077,16.903121199837855,28.98032200357783,43.47826086956522,54.84949832775919,68.56187290969899,49.328859060402685,54.054622791856524
600039,四川路桥,3.0952380952380842,-2.4774774774774855,24.425287356321835,66.21880998080614,44.81605351170568,11.705685618729097,79.93311036789298,78.52348993288591,53.74458485780342
601888,中国中免,4.541339770669883,16.375545851528408,15.252827677977399,18.586342632209487,52.508361204013376,58.19397993311036,65.21739130434783,37.24832214765101,53.29201364728065
000938,紫光股份,12.72727272727272,16.4440734557596,-5.391658189216686,45.615866388308966,79.93311036789298,58.52842809364549,8.361204013377927,65.77181208053692,53.14863863886332
600741,华域汽车,5.509641873278248,10.693641618497107,10.057471264367823,38.66763215061548,57.19063545150501,43.812709030100336,50.16722408026756,59.395973154362416,52.64163542905884
688036,传音控股,20.576021433355663,26.436297232757422,-1.2940015352560508,16.80508694523748,86.95652173913044,74.5819397993311,16.05351170568562,32.88590604026846,52.619469821103905
002493,荣盛石化,4.483837330552665,16.647264260768324,14.908256880733939,17.33021077283372,51.17056856187291,59.86622073578596,64.21404682274247,34.899328859060404,52.53754124486544
300999,金龙鱼,8.756058158319856,11.052457934675019,5.616567304675235,33.201424614166974,67.89297658862876,44.481605351170565,39.130434782608695,55.70469798657718,51.8024286772463
002601,龙佰集团,6.167904054825812,15.970056144728616,8.649912331969611,23.768308921438084,58.862876254180605,56.85618729096989,48.16053511705686,42.95302013422819,51.70815469910889
000301,东方盛虹,6.500541711809316,15.647058823529413,6.385281385281383,26.83870967741935,60.200668896321076,56.187290969899664,42.14046822742475,47.98657718120805,51.628751318713384
000596,古井贡酒,20.863613913779734,17.69151494331844,5.188824071231202,6.6691574817859145,87.29096989966555,62.207357859531776,36.78929765886287,19.463087248322147,51.43767816659559
300782,卓胜微,9.510582010582036,17.499290377519184,-0.6003121623244123,30.645415811898392,72.5752508361204,61.53846153846154,18.729096989966553,52.348993288590606,51.29795066328478
002142,宁波银行,-1.2941587967820967,9.337466098411461,20.70145423438836,46.749869994799774,24.74916387959866,40.13377926421405,73.57859531772574,66.44295302013423,51.226122870418166
601901,方正证券,4.347826086956541,14.437086092715234,10.204081632653072,29.535232383808108,50.836120401337794,51.83946488294314,50.836120401337794,49.664429530201346,50.79403380395502
000768,中航西飞,0.4521739130434854,16.030534351145032,20.083160083160067,20.78628189042242,33.11036789297659,57.52508361204013,72.24080267558529,40.26845637583892,50.786177639110235
601669,中国电建,-12.941176470588234,28.9760348583878,21.5605749486653,27.03862660944205,0.33444816053511706,78.59531772575251,75.58528428093646,48.322147651006716,50.70929945455771
601600,中国铝业,3.026315789473699,22.152886115444616,11.538461538461542,18.277945619335355,44.481605351170565,68.22742474916387,53.17725752508361,36.241610738255034,50.53197459091827
000963,华东医药,-1.2923351158645402,0.4079782411604782,30.1027900146843,53.39335180055402,25.08361204013378,18.729096989966553,83.61204013377926,72.14765100671141,49.89310004264775
002415,海康威视,9.406809406809424,10.806967650195531,5.876358695652173,22.379269729093053,72.24080267558529,44.14715719063545,40.468227424749166,41.946308724832214,49.70062400395053
688126,沪硅产业,8.586387434554954,11.987041036717061,0.8754863813229541,37.62441937624419,67.55852842809364,47.491638795986624,23.745819397993312,58.7248322147651,49.380204709209664
002179,中航光电,8.139534883720923,8.92764185320145,13.4453781512605,15.895873719191368,66.5551839464883,38.79598662207358,59.19732441471572,32.21476510067114,49.19081502098719
601012,隆基绿能,4.82295482295485,19.4019471488178,2.752842609216044,26.622418879056053,53.51170568561873,64.88294314381271,28.093645484949832,47.31543624161073,48.450932638998005
000975,山金国际,6.165494862087617,-0.3047232097511565,24.555837563451767,18.467109233554613,58.52842809364549,15.719063545150503,80.2675585284281,36.91275167785235,47.856950461269115
000166,申万宏源,1.6759776536312776,16.666666666666675,8.118811881188126,23.809523809523814,39.130434782608695,60.200668896321076,47.15719063545151,43.288590604026844,47.44422122960203
600438,通威股份,0.8237986270022812,35.2363413136894,4.4570886676149835,16.9941582580988,35.11705685618729,83.61204013377926,34.78260869565217,33.557046979865774,46.76718816637113
