year,month,date,stock_code,stock_name,momentum_score,monthly_return
2025,2,2025-02-05,600919,江苏银行,84.9679487179487,-6.498951781970641
2025,2,2025-02-05,601077,渝农商行,84.62848383500557,-5.4514480408858645
2025,2,2025-02-05,601100,恒立液压,83.94816053511707,25.558391831525217
2025,2,2025-02-05,688041,海光信息,83.8010033444816,14.969069198676443
2025,2,2025-02-05,002916,深南电路,83.7165551839465,7.460591664867189
2025,3,2025-03-03,688256,寒武纪,98.32915273132664,-10.110089889910112
2025,3,2025-03-03,688041,海光信息,95.99052396878484,-6.387635977712913
2025,3,2025-03-03,603501,豪威集团,95.90328874024526,-6.991436192615474
2025,3,2025-03-03,002594,比亚迪,94.90022296544035,4.117894736842098
2025,3,2025-03-03,603296,华勤技术,94.65774804905239,-4.291067327450737
2025,3,2025-03-03,601100,恒立液压,94.4824414715719,-0.5800756620428671
2025,3,2025-03-03,300442,润泽科技,92.24916387959865,-7.9444534151461355
2025,3,2025-03-03,000977,浪潮信息,92.06633221850613,-8.188542921039055
2025,3,2025-03-03,600588,用友网络,91.72240802675586,-8.170731707317058
2025,3,2025-03-03,301236,软通动力,90.72101449275362,-11.512903724308444
2025,3,2025-03-03,300433,蓝思科技,89.65830546265329,-6.066314996232103
2025,3,2025-03-03,688111,金山办公,89.64046822742476,-16.020388048773615
2025,3,2025-03-03,688008,澜起科技,88.13684503901895,2.6759820722383365
2025,3,2025-03-03,600050,中国联通,87.8773690078038,-10.71428571428572
2025,3,2025-03-03,000425,徐工机械,87.71460423634338,-2.4249422632794504
2025,3,2025-03-03,603986,兆易创新,87.32664437012264,-9.826679046734753
2025,3,2025-03-03,603799,华友钴业,87.1268115942029,-2.6384459263554705
2025,3,2025-03-03,002371,北方华创,86.96265328874024,-4.451628948022879
2025,3,2025-03-03,601728,中国电信,86.54765886287626,-0.8939974457215838
2025,3,2025-03-03,002600,领益智造,86.54710144927536,-5.543933054393313
2025,3,2025-03-03,688981,中芯国际,85.90328874024526,-6.947916666666664
2025,3,2025-03-03,300750,宁德时代,85.71989966555184,-7.683122504571072
2025,3,2025-03-03,000938,紫光股份,85.70763656633223,-6.110538963268097
2025,3,2025-03-03,000807,云铝股份,85.4788182831661,1.8397626112759635
2025,3,2025-03-03,300014,亿纬锂能,85.37068004459309,-7.702970297029699
2025,3,2025-03-03,300124,汇川技术,85.37040133779263,-5.888888888888877
2025,3,2025-03-03,300408,三环集团,83.46376811594203,-1.158106747230614
2025,3,2025-03-03,601881,中国银河,82.53232998885173,3.924050632911391
